"Original_Applicant","Cited_Applicant","weight","distance"
"Amayeh, Gholamreza","AT&T Intellectual Property",1,1
"Amayeh, Gholamreza","FUJITSU LTD",2,0.5
"Amayeh, Gholamreza","Hitachi, Ltd.",1,1
"Amazon Technologies, Inc.","Apple Inc.",2,0.5
"Amazon Technologies, Inc.","Canon",2,0.5
"Amazon Technologies, Inc.","Google Inc.",1,1
"Amazon Technologies, Inc.","Intel Co.",1,1
"Amazon Technologies, Inc.","LG CO.",3,0.333333333333333
"Amazon Technologies, Inc.","Microsoft Co.",2,0.5
"Amazon Technologies, Inc.","Qualcomm Inc.",3,0.333333333333333
"Amazon Technologies, Inc.","SONY",1,1
"Amento, Brian Scott","Intel Co.",3,0.333333333333333
"Amer, Ahmed","Honeywell International Inc.",2,0.5
"Amerasia International Technology, Inc.","FUJITSU LTD",2,0.5
"AMERICAN ASSOCIATE OF AIRPORT EXECUTIVES","FUJITSU LTD",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Abdi, Faisal H.",13,0.0769230769230769
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Abdi, Mustaf H.",13,0.0769230769230769
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Abdi; Faisal H.",13,0.0769230769230769
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Abdi; Mustaf H.",13,0.0769230769230769
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","ADACHI TAKUYA",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Adair, Richard D.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Aida, Takashi",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Alattar, Adnan M.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Amalfi, Michael",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","ANDO KAZUNORI",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Aoki, Yoshito",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Arcot Systems, Inc.",8,0.125
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Arnouse, Michael",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Authentec, Inc.",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Authentify, Inc.",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","AvagoTechnologies ECBU IP (Singapore) Pte. Ltd.",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Azuma, Takeo",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BAKER NATHAN B.",11,0.0909090909090909
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bakhoum, Ezzat G.",16,0.0625
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bakhoum; Ezzat G.",16,0.0625
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Ballard, Claudio R.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bardwell, William E.",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bardwell; William E.",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BARILLOVA KATRINA A.",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Barr, John Kennedy",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Baumann, William John",20,0.05
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BEENAU BLAYN W.",11,0.0909090909090909
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Beenau, Blayn W",19,0.0526315789473684
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Beenau, Blayn W.",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Beigel, Michael L.",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bell, H. Clark",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bellamkonda, Seshasayee",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Belongie, Serge J.",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Beppu, Tatsuro",17,0.0588235294117647
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bergl, Vladimir",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Berkshire Labs",8,0.125
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bishop, Fred",8,0.125
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bjorn, Vance C.",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BLACK GERALD R.",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Black, Gerald R.",116,0.00862068965517241
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Black; Gerald R.",32,0.03125
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bogosian, Jr., Charles A.",23,0.0434782608695652
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BOGOSIAN, JR.; CHARLES A.",20,0.05
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bolle, Rudolf M.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bolle, Rudolf Maarten",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BONALLE DAVID S.",11,0.0909090909090909
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bonalle, David S",25,0.04
